"tier","regime","pattern","n_rows","n_cols","method","auto_method","auto_rule","instances","median_s","q25_s","q75_s"
"base","heavy_tailed","random_01",500,500,"auction_scaled","jv","default",3,0.002346717,0.002292556,0.002500918
"base","heavy_tailed","random_05",500,1500,"auction_scaled","jv","default",2,0.28669995,0.282229675,0.291170225
"base","heavy_tailed","random_05",500,500,"auction_scaled","jv","default",3,0.003433258,0.003393693,0.003578357
"base","heavy_tailed","random_25",500,1500,"auction_scaled","jv","default",3,0.2345708,0.22924305,0.25121175
"base","heavy_tailed","random_25",500,500,"auction_scaled","jv","default",3,0.007829647,0.0076507435,0.007980486
"base","heavy_tailed","random_60",500,500,"auction_scaled","jv","default",3,0.01441261,0.014364455,0.014465275
"base","int_uniform","block_4",500,1500,"auction_scaled","jv","default",3,0.5243853,0.4556146,0.5357392
"base","int_uniform","block_4",500,500,"auction_scaled","jv","default",3,0.003613986,0.003226905,0.0036914145
"base","int_uniform","block_4",500,5000,"auction_scaled","jv","default",3,6.100715,6.0617665,6.9508515
"base","int_uniform","none",500,1500,"auction_scaled","jv","default",3,0.5322109,0.513134,0.59363095
"base","int_uniform","none",500,500,"auction_scaled","jv","default",3,0.01008485,0.00993147,0.01019588
"base","int_uniform","none",500,5000,"auction_scaled","jv","default",3,4.76408,4.4831125,5.2655945
"base","int_uniform","random_01",500,1500,"auction_scaled","jv","default",3,0.5075732,0.50753185,0.6204609
"base","int_uniform","random_01",500,500,"auction_scaled","jv","default",3,0.001417821,0.0013578175,0.0015856955
"base","int_uniform","random_01",500,5000,"auction_scaled","jv","default",3,8.206699,7.2464065,9.0540875
"base","int_uniform","random_05",500,1500,"auction_scaled","jv","default",3,0.4644475,0.4618217,0.4680117
"base","int_uniform","random_05",500,500,"auction_scaled","jv","default",3,0.002337902,0.002322773,0.002341756
"base","int_uniform","random_05",500,5000,"auction_scaled","jv","default",3,6.123861,5.8742875,8.2142155
"base","int_uniform","random_25",500,1500,"auction_scaled","jv","default",3,0.3642367,0.3527395,0.45313575
"base","int_uniform","random_25",500,500,"auction_scaled","jv","default",3,0.004796385,0.0046572925,0.004898557
"base","int_uniform","random_25",500,5000,"auction_scaled","jv","default",3,5.500593,5.421072,6.247485
"base","int_uniform","random_60",500,1500,"auction_scaled","jv","default",3,0.4439203,0.415642,0.4497567
"base","int_uniform","random_60",500,500,"auction_scaled","jv","default",3,0.00857105,0.0084479065,0.0088801695
"base","int_uniform","random_60",500,5000,"auction_scaled","jv","default",3,5.392128,5.1701885,5.612874
"base","metric_clustered","block_4",500,1500,"auction_scaled","jv","default",3,0.3555608,0.35082555,0.3703015
