"tier","regime","pattern","n_rows","n_cols","cost_type","distribution","metric","components","finite_share","auto_method","auto_rule","auto_condition"
"base","dbl_uniform","random_05",500,1500,"double","uniform",FALSE,1,0.0509,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_01",500,1500,"double","uniform",FALSE,1,0.0106,"jv","default","no earlier rule applies"
"base","dbl_uniform","block_4",500,1500,"double","uniform",FALSE,4,0.25,"jv","default","no earlier rule applies"
"base","binary","none",500,1500,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_60",500,1500,"binary","binary",FALSE,1,0.6002,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_25",500,1500,"binary","binary",FALSE,1,0.2512,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_05",500,1500,"binary","binary",FALSE,1,0.0507,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_01",500,1500,"binary","binary",FALSE,1,0.0106,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","block_4",500,1500,"binary","binary",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","none",500,1500,"constant","degenerate",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_60",500,1500,"constant","degenerate",FALSE,1,0.6007,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_25",500,1500,"constant","degenerate",FALSE,1,0.2499,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_05",500,1500,"constant","degenerate",FALSE,1,0.0511,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_01",500,1500,"constant","degenerate",FALSE,1,0.0107,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","block_4",500,1500,"constant","degenerate",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","tied","none",500,1500,"integer","tied",FALSE,1,1,"jv","default","no earlier rule applies"
"base","tied","random_60",500,1500,"integer","tied",FALSE,1,0.6007,"jv","default","no earlier rule applies"
"base","tied","random_25",500,1500,"integer","tied",FALSE,1,0.2501,"jv","default","no earlier rule applies"
"base","tied","random_05",500,1500,"integer","tied",FALSE,1,0.0507,"jv","default","no earlier rule applies"
"base","tied","random_01",500,1500,"integer","tied",FALSE,1,0.0107,"jv","default","no earlier rule applies"
"base","tied","block_4",500,1500,"integer","tied",FALSE,4,0.25,"jv","default","no earlier rule applies"
"base","heavy_tailed","none",500,1500,"double","heavy-tailed",FALSE,1,1,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_60",500,1500,"double","heavy-tailed",FALSE,1,0.6001,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_25",500,1500,"double","heavy-tailed",FALSE,1,0.2507,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_05",500,1500,"double","heavy-tailed",FALSE,1,0.0504,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_01",500,1500,"double","heavy-tailed",FALSE,1,0.0106,"jv","default","no earlier rule applies"
"base","heavy_tailed","block_4",500,1500,"double","heavy-tailed",FALSE,4,0.25,"jv","default","no earlier rule applies"
"base","metric_uniform","none",500,1500,"double","uniform",TRUE,1,1,"jv","default","no earlier rule applies"
"base","metric_uniform","random_60",500,1500,"double","uniform",TRUE,1,0.6008,"jv","default","no earlier rule applies"
"base","metric_uniform","random_25",500,1500,"double","uniform",TRUE,1,0.2504,"jv","default","no earlier rule applies"
"base","metric_uniform","random_05",500,1500,"double","uniform",TRUE,1,0.0507,"jv","default","no earlier rule applies"
"base","metric_uniform","random_01",500,1500,"double","uniform",TRUE,1,0.0108,"jv","default","no earlier rule applies"
"base","metric_uniform","block_4",500,1500,"double","uniform",TRUE,4,0.25,"jv","default","no earlier rule applies"
"base","metric_clustered","none",500,1500,"double","clustered",TRUE,1,1,"jv","default","no earlier rule applies"
"base","metric_clustered","random_60",500,1500,"double","clustered",TRUE,1,0.6,"jv","default","no earlier rule applies"
"base","metric_clustered","random_25",500,1500,"double","clustered",TRUE,1,0.2506,"jv","default","no earlier rule applies"
"base","metric_clustered","random_05",500,1500,"double","clustered",TRUE,1,0.0507,"jv","default","no earlier rule applies"
"base","metric_clustered","random_01",500,1500,"double","clustered",TRUE,1,0.0107,"jv","default","no earlier rule applies"
"base","metric_clustered","block_4",500,1500,"double","clustered",TRUE,4,0.25,"jv","default","no earlier rule applies"
"base","int_uniform","none",500,5000,"integer","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"base","int_uniform","random_60",500,5000,"integer","uniform",FALSE,1,0.5998,"jv","default","no earlier rule applies"
"base","int_uniform","random_25",500,5000,"integer","uniform",FALSE,1,0.2503,"jv","default","no earlier rule applies"
"base","int_uniform","random_05",500,5000,"integer","uniform",FALSE,1,0.05,"jv","default","no earlier rule applies"
"base","int_uniform","random_01",500,5000,"integer","uniform",FALSE,1,0.0102,"jv","default","no earlier rule applies"
"base","int_uniform","block_4",500,5000,"integer","uniform",FALSE,4,0.25,"jv","default","no earlier rule applies"
"base","dbl_uniform","none",500,5000,"double","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_60",500,5000,"double","uniform",FALSE,1,0.5999,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_25",500,5000,"double","uniform",FALSE,1,0.2504,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_05",500,5000,"double","uniform",FALSE,1,0.0504,"jv","default","no earlier rule applies"
"base","dbl_uniform","random_01",500,5000,"double","uniform",FALSE,1,0.0101,"jv","default","no earlier rule applies"
"base","dbl_uniform","block_4",500,5000,"double","uniform",FALSE,4,0.25,"jv","default","no earlier rule applies"
"base","binary","none",500,5000,"binary","binary",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_60",500,5000,"binary","binary",FALSE,1,0.6,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_25",500,5000,"binary","binary",FALSE,1,0.2504,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_05",500,5000,"binary","binary",FALSE,1,0.0502,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","random_01",500,5000,"binary","binary",FALSE,1,0.0102,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","binary","block_4",500,5000,"binary","binary",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","none",500,5000,"constant","degenerate",FALSE,1,1,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_60",500,5000,"constant","degenerate",FALSE,1,0.6004,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_25",500,5000,"constant","degenerate",FALSE,1,0.2502,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_05",500,5000,"constant","degenerate",FALSE,1,0.05,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","random_01",500,5000,"constant","degenerate",FALSE,1,0.0101,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","constant","block_4",500,5000,"constant","degenerate",FALSE,4,0.25,"hk01","no_cost_scale","finite entries all equal, or all either 0 or 1"
"base","tied","none",500,5000,"integer","tied",FALSE,1,1,"jv","default","no earlier rule applies"
"base","tied","random_60",500,5000,"integer","tied",FALSE,1,0.6003,"jv","default","no earlier rule applies"
"base","tied","random_25",500,5000,"integer","tied",FALSE,1,0.2505,"jv","default","no earlier rule applies"
"base","tied","random_05",500,5000,"integer","tied",FALSE,1,0.0503,"jv","default","no earlier rule applies"
"base","tied","random_01",500,5000,"integer","tied",FALSE,1,0.0101,"jv","default","no earlier rule applies"
"base","tied","block_4",500,5000,"integer","tied",FALSE,4,0.25,"jv","default","no earlier rule applies"
"base","heavy_tailed","none",500,5000,"double","heavy-tailed",FALSE,1,1,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_60",500,5000,"double","heavy-tailed",FALSE,1,0.6003,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_25",500,5000,"double","heavy-tailed",FALSE,1,0.2502,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_05",500,5000,"double","heavy-tailed",FALSE,1,0.0504,"jv","default","no earlier rule applies"
"base","heavy_tailed","random_01",500,5000,"double","heavy-tailed",FALSE,1,0.0102,"jv","default","no earlier rule applies"
"base","heavy_tailed","block_4",500,5000,"double","heavy-tailed",FALSE,4,0.25,"jv","default","no earlier rule applies"
"base","metric_uniform","none",500,5000,"double","uniform",TRUE,1,1,"jv","default","no earlier rule applies"
"base","metric_uniform","random_60",500,5000,"double","uniform",TRUE,1,0.5999,"jv","default","no earlier rule applies"
"base","metric_uniform","random_25",500,5000,"double","uniform",TRUE,1,0.2503,"jv","default","no earlier rule applies"
"base","metric_uniform","random_05",500,5000,"double","uniform",TRUE,1,0.0503,"jv","default","no earlier rule applies"
"base","metric_uniform","random_01",500,5000,"double","uniform",TRUE,1,0.0101,"jv","default","no earlier rule applies"
"base","metric_uniform","block_4",500,5000,"double","uniform",TRUE,4,0.25,"jv","default","no earlier rule applies"
"base","metric_clustered","none",500,5000,"double","clustered",TRUE,1,1,"jv","default","no earlier rule applies"
"base","metric_clustered","random_60",500,5000,"double","clustered",TRUE,1,0.6005,"jv","default","no earlier rule applies"
"base","metric_clustered","random_25",500,5000,"double","clustered",TRUE,1,0.2501,"jv","default","no earlier rule applies"
"base","metric_clustered","random_05",500,5000,"double","clustered",TRUE,1,0.0504,"jv","default","no earlier rule applies"
"base","metric_clustered","random_01",500,5000,"double","clustered",TRUE,1,0.0102,"jv","default","no earlier rule applies"
"base","metric_clustered","block_4",500,5000,"double","clustered",TRUE,4,0.25,"jv","default","no earlier rule applies"
"large","int_uniform","none",1500,1500,"integer","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"large","int_uniform","random_25",1500,1500,"integer","uniform",FALSE,1,0.2507,"jv","default","no earlier rule applies"
"large","int_uniform","random_01",1500,1500,"integer","uniform",FALSE,1,0.0105,"jv","default","no earlier rule applies"
"large","dbl_uniform","none",1500,1500,"double","uniform",FALSE,1,1,"jv","default","no earlier rule applies"
"large","dbl_uniform","random_25",1500,1500,"double","uniform",FALSE,1,0.2508,"jv","default","no earlier rule applies"
"large","dbl_uniform","random_01",1500,1500,"double","uniform",FALSE,1,0.0106,"jv","default","no earlier rule applies"
