"n_total","shape","points","reps","optimal","warm_s","cold_s","speedup","warm_wall","cold_wall","wall_speedup","warm_rounds","cold_rounds","warm_evaluated","cold_evaluated","candidate_edges","max_dd","inert_from","ref_lazy_s","same_status","same_n","worst_total_gap","last_vs_unconstrained","certified"
500,"167 x 333",20,3,20,0.032,0.087,2.7,0.061,0.142,2.33,22,40,403278,771562,7260,3.20025444104402,3,0.013,TRUE,TRUE,0,1.16e-16,TRUE
2000,"667 x 1333",20,3,20,0.541,1.088,2.01,0.581,1.164,2,23,40,4886084,9401701,36872,2.75427327166026,3,0.048,TRUE,TRUE,0,1.44e-16,TRUE
5000,"1667 x 3333",20,2,20,3.208,6.605,2.06,3.273,6.734,2.06,21,40,30560413,60106575,113398,2.67782553789991,1,0.345,TRUE,TRUE,0,2.65e-16,TRUE
20000,"6667 x 13333",20,1,20,46.118,92.733,2.01,46.31,93.077,2.01,21,40,528229838,1040324443,556349,2.8645898178649,1,6.364,TRUE,TRUE,0,4.29e-15,TRUE
