"n_total","shape","point","max_distance","status","cold_status","n_matched","cold_n_matched","warm_s","cold_s","warm_rounds","cold_rounds","warm_evaluated","cold_evaluated","pairs_added","candidate_edges","total_distance","cold_total_distance"
2000,"667 x 1333",17,3.71652805354147,"optimal","optimal",667,667,0.025488125,0.059523,1,2,369165,738340,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",18,3.7832251698892,"optimal","optimal",667,667,0.025718458,0.06050425,1,2,394484,788979,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",19,3.84992228623692,"optimal","optimal",667,667,0.025769416,0.06110475,1,2,420005,840021,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",20,3.91661940258465,"optimal","optimal",667,667,0.025810167,0.061061041,1,2,445767,891552,0,36872,791.225096837908,791.225096837908
5000,"1667 x 3333",1,2.67782553789991,"optimal","optimal",1667,1667,0.295062792,0.297401375,2,2,1031751,1031751,113398,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",2,2.74271776216115,"optimal","optimal",1667,1667,0.141598916,0.301556583,1,2,583953,1167927,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",3,2.80760998642239,"optimal","optimal",1667,1667,0.143485417,0.304851291,1,2,658051,1316132,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",4,2.87250221068363,"optimal","optimal",1667,1667,0.145092459,0.308921167,1,2,738276,1476598,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",5,2.93739443494488,"optimal","optimal",1667,1667,0.146146208,0.312391208,1,2,824949,1649965,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",6,3.00228665920612,"optimal","optimal",1667,1667,0.146966459,0.31689725,1,2,917768,1835626,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",7,3.06717888346736,"optimal","optimal",1667,1667,0.148716167,0.320418792,1,2,1016499,2033123,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",8,3.13207110772861,"optimal","optimal",1667,1667,0.15025675,0.326121167,1,2,1121884,2243943,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",9,3.19696333198985,"optimal","optimal",1667,1667,0.151721416,0.327421,1,2,1233083,2466418,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",10,3.26185555625109,"optimal","optimal",1667,1667,0.152664667,0.332088042,1,2,1350918,2702170,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",11,3.32674778051233,"optimal","optimal",1667,1667,0.154074625,0.334547041,1,2,1474175,2948803,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",12,3.39164000477358,"optimal","optimal",1667,1667,0.155168917,0.338495166,1,2,1603765,3208090,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",13,3.45653222903482,"optimal","optimal",1667,1667,0.157397,0.340790542,1,2,1738257,3477255,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",14,3.52142445329606,"optimal","optimal",1667,1667,0.158477,0.344536417,1,2,1878111,3757183,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",15,3.58631667755731,"optimal","optimal",1667,1667,0.159916166,0.34893675,1,2,2022674,4046574,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",16,3.65120890181855,"optimal","optimal",1667,1667,0.161024375,0.350569833,1,2,2169898,4341339,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",17,3.71610112607979,"optimal","optimal",1667,1667,0.16083275,0.349405292,1,2,2320396,4642738,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",18,3.78099335034103,"optimal","optimal",1667,1667,0.16099575,0.352118459,1,2,2472423,4947241,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",19,3.84588557460228,"optimal","optimal",1667,1667,0.161627416,0.353421333,1,2,2624971,5252891,0,113398,1714.64003806365,1714.64003806365
5000,"1667 x 3333",20,3.91077779886352,"optimal","optimal",1667,1667,0.161713167,0.355108667,1,2,2778611,5560808,0,113398,1714.64003806365,1714.64003806365
20000,"6667 x 13333",1,2.8645898178649,"optimal","optimal",6667,6667,4.356214542,4.371515167,2,2,22934615,22934615,556349,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",2,2.91998624505944,"optimal","optimal",6667,6667,2.101911167,4.393526583,1,2,12603845,25245701,0,556349,5515.91608475411,5515.91608475411
20000,"6667 x 13333",3,2.97538267225397,"optimal","optimal",6667,6667,2.11334325,4.428774958,1,2,13819176,27687422,0,556349,5515.91608475411,5515.91608475411
