"tier","regime","pattern","n_rows","n_cols","cost_type","distribution","metric","components","finite_share","auto_method","auto_rule","auto_condition"
"base","heavy_tailed","random_60",500,1500,"double","heavy-tailed",FALSE,1,0.6001,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","heavy_tailed","random_25",500,1500,"double","heavy-tailed",FALSE,1,0.2507,"lapmod","sparse","more than half the entries non-finite"
"base","heavy_tailed","block_4",500,1500,"double","heavy-tailed",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","none",500,1500,"double","uniform",TRUE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_uniform","random_60",500,1500,"double","uniform",TRUE,1,0.6008,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_uniform","random_25",500,1500,"double","uniform",TRUE,1,0.2504,"lapmod","sparse","more than half the entries non-finite"
"base","metric_uniform","block_4",500,1500,"double","uniform",TRUE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","none",500,1500,"double","clustered",TRUE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_clustered","random_60",500,1500,"double","clustered",TRUE,1,0.6,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","metric_clustered","random_25",500,1500,"double","clustered",TRUE,1,0.2506,"lapmod","sparse","more than half the entries non-finite"
"base","metric_clustered","block_4",500,1500,"double","clustered",TRUE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","none",500,5000,"integer","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","int_uniform","random_60",500,5000,"integer","uniform",FALSE,1,0.5998,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","int_uniform","random_25",500,5000,"integer","uniform",FALSE,1,0.2503,"lapmod","sparse","more than half the entries non-finite"
"base","int_uniform","block_4",500,5000,"integer","uniform",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","none",500,5000,"double","uniform",FALSE,1,1,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","dbl_uniform","random_60",500,5000,"double","uniform",FALSE,1,0.5999,"sap","very_rectangular","at least 3 times as many columns as rows"
"base","dbl_uniform","random_25",500,5000,"double","uniform",FALSE,1,0.2504,"lapmod","sparse","more than half the entries non-finite"
"base","dbl_uniform","block_4",500,5000,"double","uniform",FALSE,4,0.25,"lapmod","sparse","more than half the entries non-finite"
