"tier","regime","pattern","n_rows","n_cols","method","auto_method","auto_rule","instances","median_s","q25_s","q75_s"
"base","heavy_tailed","random_05",500,1500,"auction","jv","default",3,0.1893571,0.1868849,0.1923496
"base","heavy_tailed","random_05",500,500,"auction","jv","default",3,0.003585327,0.003560604,0.0036639855
"base","heavy_tailed","random_05",500,5000,"auction","jv","default",3,2.29418,2.174148,2.317991
"base","heavy_tailed","random_25",500,1500,"auction","jv","default",3,0.1739477,0.17094605,0.19154175
"base","heavy_tailed","random_25",500,500,"auction","jv","default",3,0.009164279,0.008692738,0.0097908395
"base","heavy_tailed","random_25",500,5000,"auction","jv","default",3,2.397798,2.219412,2.5738495
"base","heavy_tailed","random_60",500,1500,"auction","jv","default",3,0.2604584,0.2445437,0.27975885
"base","heavy_tailed","random_60",500,500,"auction","jv","default",3,0.0177334,0.01752912,0.017929505
"base","heavy_tailed","random_60",500,5000,"auction","jv","default",3,5.706148,4.801946,6.326406
"base","int_uniform","block_4",500,1500,"auction","jv","default",3,0.1319629,0.1288621,0.14367095
"base","int_uniform","block_4",500,500,"auction","jv","default",3,0.002747164,0.002651798,0.0027737935
"base","int_uniform","block_4",500,5000,"auction","jv","default",3,1.762436,1.7294835,1.847742
"base","int_uniform","none",500,1500,"auction","jv","default",3,0.1564729,0.15079825,0.1624808
"base","int_uniform","none",500,500,"auction","jv","default",3,0.009180638,0.009082648,0.0092871355
"base","int_uniform","none",500,5000,"auction","jv","default",3,1.626953,1.5982305,1.7129215
"base","int_uniform","random_01",500,1500,"auction","jv","default",3,0.09618092,0.095146855,0.10256916
"base","int_uniform","random_01",500,500,"auction","jv","default",3,0.001365628,0.001353902,0.001374279
"base","int_uniform","random_01",500,5000,"auction","jv","default",3,1.385565,1.3319275,1.4169635
"base","int_uniform","random_05",500,1500,"auction","jv","default",3,0.1081486,0.10372243,0.1124551
"base","int_uniform","random_05",500,500,"auction","jv","default",3,0.001980792,0.0019588775,0.0019911035
"base","int_uniform","random_05",500,5000,"auction","jv","default",3,1.531848,1.417252,1.5858835
"base","int_uniform","random_25",500,1500,"auction","jv","default",3,0.1204948,0.11816085,0.12371315
"base","int_uniform","random_25",500,500,"auction","jv","default",3,0.004339153,0.0042424955,0.0044121125
"base","int_uniform","random_25",500,5000,"auction","jv","default",3,1.735056,1.702754,1.765495
"base","int_uniform","random_60",500,1500,"auction","jv","default",3,0.153639,0.14952035,0.15474865
"base","int_uniform","random_60",500,500,"auction","jv","default",3,0.007792542,0.0075917855,0.007992827
"base","int_uniform","random_60",500,5000,"auction","jv","default",3,1.739152,1.7270645,1.8141295
"base","metric_clustered","block_4",500,1500,"auction","jv","default",3,0.1301219,0.1168018,0.1303309
"base","metric_clustered","block_4",500,500,"auction","jv","default",3,0.002875166,0.0028619025,0.002926539
"base","metric_clustered","block_4",500,5000,"auction","jv","default",3,1.660546,1.6344785,1.714869
"base","metric_clustered","none",500,1500,"auction","jv","default",3,0.1292402,0.12682355,0.13162415
"base","metric_clustered","none",500,500,"auction","jv","default",3,0.008909915,0.008695157,0.008943781
"base","metric_clustered","none",500,5000,"auction","jv","default",3,1.52051,1.481574,1.582365
"base","metric_clustered","random_01",500,1500,"auction","jv","default",3,0.1059077,0.09554748,0.11247485
"base","metric_clustered","random_01",500,500,"auction","jv","default",3,0.001391007,0.001387481,0.0014061155
"base","metric_clustered","random_01",500,5000,"auction","jv","default",3,1.449794,1.4440045,1.5193645
"base","metric_clustered","random_05",500,1500,"auction","jv","default",3,0.1282212,0.11998785,0.1303249
"base","metric_clustered","random_05",500,500,"auction","jv","default",3,0.00219514,0.0020988515,0.0021967185
"base","metric_clustered","random_05",500,5000,"auction","jv","default",3,1.507672,1.492333,1.5146415
"base","metric_clustered","random_25",500,1500,"auction","jv","default",3,0.1261492,0.1260384,0.1309932
"base","metric_clustered","random_25",500,500,"auction","jv","default",3,0.005028527,0.0049193645,0.005171822
"base","metric_clustered","random_25",500,5000,"auction","jv","default",3,1.525696,1.498747,1.588246
"base","metric_clustered","random_60",500,1500,"auction","jv","default",3,0.1434613,0.1399172,0.1451011
"base","metric_clustered","random_60",500,500,"auction","jv","default",3,0.007866014,0.0078576705,0.007922799
"base","metric_clustered","random_60",500,5000,"auction","jv","default",3,1.672297,1.6007335,1.679936
"base","metric_uniform","block_4",500,1500,"auction","jv","default",3,0.1068553,0.10330698,0.1148297
"base","metric_uniform","block_4",500,500,"auction","jv","default",3,0.002447577,0.0024266055,0.00251699
"base","metric_uniform","block_4",500,5000,"auction","jv","default",3,1.226564,1.222625,1.2930795
"base","metric_uniform","none",500,1500,"auction","jv","default",3,0.121287,0.1188973,0.12352095
"base","metric_uniform","none",500,500,"auction","jv","default",3,0.006367218,0.006348563,0.0072690745
"base","metric_uniform","none",500,5000,"auction","jv","default",3,1.465441,1.3495,1.529166
"base","metric_uniform","random_01",500,1500,"auction","jv","default",3,0.09556563,0.09548978,0.105622815
"base","metric_uniform","random_01",500,500,"auction","jv","default",3,0.001404906,0.001386825,0.001438977
"base","metric_uniform","random_01",500,5000,"auction","jv","default",3,1.466762,1.4214735,1.4837965
"base","metric_uniform","random_05",500,1500,"auction","jv","default",3,0.1183273,0.1103073,0.1185939
"base","metric_uniform","random_05",500,500,"auction","jv","default",3,0.001968205,0.00195898,0.001978455
"base","metric_uniform","random_05",500,5000,"auction","jv","default",3,1.349024,1.244455,1.4442635
"base","metric_uniform","random_25",500,1500,"auction","jv","default",3,0.110081,0.1081731,0.1149161
"base","metric_uniform","random_25",500,500,"auction","jv","default",3,0.004079377,0.004058672,0.004099672
"base","metric_uniform","random_25",500,5000,"auction","jv","default",3,1.537669,1.43899,1.591014
"base","metric_uniform","random_60",500,1500,"auction","jv","default",3,0.1199635,0.11541215,0.12094945
"base","metric_uniform","random_60",500,500,"auction","jv","default",3,0.006650118,0.0066477195,0.006733758
"base","metric_uniform","random_60",500,5000,"auction","jv","default",3,1.205312,1.1625445,1.35351
"base","tied","block_4",500,1500,"auction","jv","default",3,0.0417462,0.041732465,0.041852245
"base","tied","block_4",500,500,"auction","jv","default",3,0.003031417,0.003023135,0.003066554
"base","tied","block_4",500,5000,"auction","jv","default",3,0.5307048,0.52964745,0.53301395
"base","tied","none",500,1500,"auction","jv","default",3,0.05883504,0.054344145,0.059945155
"base","tied","none",500,500,"auction","jv","default",3,0.008286674,0.008193276,0.008968217
"base","tied","none",500,5000,"auction","jv","default",3,0.6121127,0.6119083,0.62980015
"base","tied","random_01",500,1500,"auction","jv","default",3,0.0842215,0.07544176,0.08446422
"base","tied","random_01",500,500,"auction","jv","default",3,0.001400847,0.0013776615,0.001404127
"base","tied","random_01",500,5000,"auction","jv","default",3,0.5686324,0.5675375,0.6902173
"base","tied","random_05",500,1500,"auction","jv","default",3,0.04304385,0.04291628,0.043160185
"base","tied","random_05",500,500,"auction","jv","default",3,0.00232429,0.00229436,0.0023318135
"base","tied","random_05",500,5000,"auction","jv","default",3,0.5775198,0.57603675,0.57793515
"base","tied","random_25",500,1500,"auction","jv","default",3,0.05087633,0.050497875,0.05097606
"base","tied","random_25",500,500,"auction","jv","default",3,0.004410124,0.004369821,0.0045770145
"base","tied","random_25",500,5000,"auction","jv","default",3,0.6013145,0.6011677,0.6019936
"base","tied","random_60",500,1500,"auction","jv","default",3,0.06028788,0.05943225,0.06044122
"base","tied","random_60",500,500,"auction","jv","default",3,0.007707713,0.007693773,0.0080822275
"base","tied","random_60",500,5000,"auction","jv","default",3,0.6150883,0.6145701,0.62353205
"base","binary","block_4",500,1500,"auction_gs","hk01","no_cost_scale",3,0.03340922,0.033319985,0.03346711
"base","binary","block_4",500,500,"auction_gs","hk01","no_cost_scale",3,0.002374433,0.002355532,0.002379517
"base","binary","block_4",500,5000,"auction_gs","hk01","no_cost_scale",3,0.3624088,0.36195755,0.36275025
"base","binary","none",500,1500,"auction_gs","hk01","no_cost_scale",3,0.0442342,0.044130125,0.04439523
"base","binary","none",500,500,"auction_gs","hk01","no_cost_scale",3,0.00599748,0.0058959845,0.006056684
"base","binary","none",500,5000,"auction_gs","hk01","no_cost_scale",3,0.4221648,0.4217296,0.42251915
"base","binary","random_01",500,1500,"auction_gs","hk01","no_cost_scale",3,0.02858024,0.028429975,0.030274585
"base","binary","random_01",500,500,"auction_gs","hk01","no_cost_scale",3,0.001618065,0.0016171015,0.0016236
"base","binary","random_01",500,5000,"auction_gs","hk01","no_cost_scale",3,0.3640408,0.3629073,0.36537835
"base","binary","random_05",500,1500,"auction_gs","hk01","no_cost_scale",3,0.03232194,0.032306975,0.0323286
"base","binary","random_05",500,500,"auction_gs","hk01","no_cost_scale",3,0.001789937,0.0017488345,0.001811462
"base","binary","random_05",500,5000,"auction_gs","hk01","no_cost_scale",3,0.3596748,0.35861045,0.35970795
"base","binary","random_25",500,1500,"auction_gs","hk01","no_cost_scale",3,0.03870523,0.038605415,0.03874752
"base","binary","random_25",500,500,"auction_gs","hk01","no_cost_scale",3,0.003666261,0.0036557035,0.0037023615
"base","binary","random_25",500,5000,"auction_gs","hk01","no_cost_scale",3,0.3789982,0.3786749,0.38019755
"base","binary","random_60",500,1500,"auction_gs","hk01","no_cost_scale",3,0.04662893,0.046598465,0.0466868
"base","binary","random_60",500,500,"auction_gs","hk01","no_cost_scale",3,0.006000965,0.005998464,0.006049017
"base","binary","random_60",500,5000,"auction_gs","hk01","no_cost_scale",3,0.4052071,0.4050994,0.41739085
"base","constant","block_4",500,1500,"auction_gs","hk01","no_cost_scale",3,0.03132941,0.031327605,0.031360735
"base","constant","block_4",500,500,"auction_gs","hk01","no_cost_scale",3,0.001934052,0.0019333755,0.001934216
"base","constant","block_4",500,5000,"auction_gs","hk01","no_cost_scale",3,0.3536776,0.35355555,0.35401835
"base","constant","none",500,1500,"auction_gs","hk01","no_cost_scale",3,0.03978611,0.03977285,0.039798615
"base","constant","none",500,500,"auction_gs","hk01","no_cost_scale",3,0.00438823,0.004386631,0.004396553
"base","constant","none",500,5000,"auction_gs","hk01","no_cost_scale",3,0.4082808,0.4081359,0.4082914
"base","constant","random_01",500,1500,"auction_gs","hk01","no_cost_scale",3,0.02968863,0.0296505,0.02982184
"base","constant","random_01",500,500,"auction_gs","hk01","no_cost_scale",3,0.001619008,0.0015613415,0.001635285
