"n_total","shape","point","max_distance","status","cold_status","n_matched","cold_n_matched","warm_s","cold_s","warm_rounds","cold_rounds","warm_evaluated","cold_evaluated","pairs_added","candidate_edges","total_distance","cold_total_distance"
500,"167 x 333",1,3.12212322910447,"optimal","optimal",167,167,0.003315708,0.003342375,2,2,23384,23384,7259,7259,244.93545552121,244.93545552121
500,"167 x 333",2,3.16226335683163,"optimal","optimal",167,167,0.001186416,0.003292,1,2,12385,24770,0,7259,244.93545552121,244.93545552121
500,"167 x 333",3,3.20240348455879,"optimal","optimal",167,167,0.002211458,0.003324916,2,2,18869,26128,1,7260,244.439100788808,244.439100788808
500,"167 x 333",4,3.24254361228595,"optimal","optimal",167,167,0.001162916,0.00338575,1,2,13825,27650,0,7260,244.439100788808,244.439100788808
500,"167 x 333",5,3.28268374001311,"optimal","optimal",167,167,0.001188875,0.003385667,1,2,14520,29040,0,7260,244.439100788808,244.439100788808
500,"167 x 333",6,3.32282386774027,"optimal","optimal",167,167,0.001208084,0.003468042,1,2,15283,30566,0,7260,244.439100788808,244.439100788808
500,"167 x 333",7,3.36296399546742,"optimal","optimal",167,167,0.001226917,0.003529542,1,2,16068,32136,0,7260,244.439100788808,244.439100788808
500,"167 x 333",8,3.40310412319458,"optimal","optimal",167,167,0.001231042,0.003602708,1,2,16886,33772,0,7260,244.439100788808,244.439100788808
500,"167 x 333",9,3.44324425092174,"optimal","optimal",167,167,0.001228542,0.0036985,1,2,17773,35546,0,7260,244.439100788808,244.439100788808
500,"167 x 333",10,3.4833843786489,"optimal","optimal",167,167,0.001255792,0.003715042,1,2,18593,37186,0,7260,244.439100788808,244.439100788808
500,"167 x 333",11,3.52352450637606,"optimal","optimal",167,167,0.001279417,0.003785958,1,2,19493,38986,0,7260,244.439100788808,244.439100788808
500,"167 x 333",12,3.56366463410322,"optimal","optimal",167,167,0.001305,0.003809416,1,2,20334,40668,0,7260,244.439100788808,244.439100788808
500,"167 x 333",13,3.60380476183038,"optimal","optimal",167,167,0.001308083,0.00388475,1,2,21208,42416,0,7260,244.439100788808,244.439100788808
500,"167 x 333",14,3.64394488955754,"optimal","optimal",167,167,0.001293042,0.003883791,1,2,22126,44252,0,7260,244.439100788808,244.439100788808
500,"167 x 333",15,3.68408501728469,"optimal","optimal",167,167,0.001319958,0.003890041,1,2,23029,46058,0,7260,244.439100788808,244.439100788808
500,"167 x 333",16,3.72422514501185,"optimal","optimal",167,167,0.001343667,0.003896667,1,2,24053,48106,0,7260,244.439100788808,244.439100788808
500,"167 x 333",17,3.76436527273901,"optimal","optimal",167,167,0.001338917,0.003963875,1,2,24939,49878,0,7260,244.439100788808,244.439100788808
500,"167 x 333",18,3.80450540046617,"optimal","optimal",167,167,0.001341375,0.003970375,1,2,25871,51742,0,7260,244.439100788808,244.439100788808
500,"167 x 333",19,3.84464552819333,"optimal","optimal",167,167,0.001349708,0.003997417,1,2,26833,53666,0,7260,244.439100788808,244.439100788808
500,"167 x 333",20,3.88478565592049,"optimal","optimal",167,167,0.001341375,0.004040917,1,2,27806,55612,0,7260,244.439100788808,244.439100788808
2000,"667 x 1333",1,2.64937419197789,"optimal","optimal",667,667,0.039955667,0.04046025,2,2,150978,150978,36867,36867,792.086419149861,792.086419149861
2000,"667 x 1333",2,2.71607130832561,"optimal","optimal",667,667,0.035176958,0.040919334,2,2,134947,171814,2,36869,792.029808641756,792.029808641756
2000,"667 x 1333",3,2.78276842467333,"optimal","optimal",667,667,0.036229625,0.041517709,2,2,158363,195232,3,36872,791.225096837908,791.225096837908
2000,"667 x 1333",4,2.84946554102106,"optimal","optimal",667,667,0.018263917,0.042752583,1,2,110355,220710,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",5,2.91616265736878,"optimal","optimal",667,667,0.018643916,0.043579708,1,2,124291,248583,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",6,2.98285977371651,"optimal","optimal",667,667,0.018993042,0.044053209,1,2,139304,278609,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",7,3.04955689006423,"optimal","optimal",667,667,0.019227709,0.045015958,1,2,155226,310453,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",8,3.11625400641196,"optimal","optimal",667,667,0.019586375,0.04563575,1,2,172157,344316,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",9,3.18295112275968,"optimal","optimal",667,667,0.019930292,0.046301166,1,2,190063,380128,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",10,3.2496482391074,"optimal","optimal",667,667,0.020181459,0.047752875,1,2,209156,418314,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",11,3.31634535545513,"optimal","optimal",667,667,0.020450708,0.04850375,1,2,229156,458314,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",12,3.38304247180285,"optimal","optimal",667,667,0.020667416,0.0493285,1,2,250466,500934,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",13,3.44973958815058,"optimal","optimal",667,667,0.020859,0.04945525,1,2,272601,545207,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",14,3.5164367044983,"optimal","optimal",667,667,0.020541292,0.050584666,1,2,295629,591263,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",15,3.58313382084603,"optimal","optimal",667,667,0.020888666,0.050937584,1,2,319614,639234,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",16,3.64983093719375,"optimal","optimal",667,667,0.021290667,0.050800625,1,2,344357,688720,0,36872,791.225096837908,791.225096837908
2000,"667 x 1333",17,3.71652805354147,"optimal","optimal",667,667,0.021493,0.052337583,1,2,369165,738340,0,36872,791.225096837908,791.225096837908
