"tier","regime","pattern","shape","auto_rule","auto_picks","auto_s","picked_s","best_method","best_s","ratio","picked_ratio"
"base","int_uniform","block_4","500 x 500","sparse","lapmod",0.0043,0.0043,"auction_scaled",0.0029,1.48,1.48
"large","int_uniform","random_25","1500 x 1500","sparse","lapmod",0.1218,0.1216,"jv",0.0984,1.24,1.24
"large","metric_clustered","random_25","1500 x 1500","sparse","lapmod",0.1811,0.1824,"sap",0.1477,1.23,1.23
"large","dbl_uniform","random_25","1500 x 1500","sparse","lapmod",0.1179,0.1179,"jv",0.0973,1.21,1.21
"base","dbl_uniform","random_60","500 x 500","default","jv",0.0089,0.009,"auction_scaled",0.0075,1.19,1.2
"base","int_uniform","random_25","500 x 5000","sparse","lapmod",0.0232,0.0231,"hungarian",0.0195,1.19,1.18
"base","dbl_uniform","random_25","500 x 5000","sparse","lapmod",0.0231,0.0232,"hungarian",0.0196,1.18,1.18
"base","heavy_tailed","random_25","500 x 5000","sparse","lapmod",0.0232,0.0232,"hungarian",0.0198,1.18,1.17
"base","metric_uniform","block_4","500 x 1500","sparse","lapmod",0.0043,0.0043,"jv",0.0036,1.18,1.18
"base","dbl_uniform","block_4","500 x 1500","sparse","lapmod",0.0043,0.0044,"hungarian",0.0037,1.17,1.2
"base","heavy_tailed","block_4","500 x 500","sparse","lapmod",0.0049,0.0049,"hungarian",0.0042,1.17,1.17
"base","heavy_tailed","block_4","500 x 1500","sparse","lapmod",0.0042,0.0042,"jv",0.0037,1.16,1.15
"base","int_uniform","block_4","500 x 1500","sparse","lapmod",0.0043,0.0043,"hungarian",0.0037,1.16,1.15
"base","metric_clustered","block_4","500 x 1500","sparse","lapmod",0.0045,0.0044,"hungarian",0.0038,1.16,1.16
"base","metric_uniform","random_25","500 x 5000","sparse","lapmod",0.0233,0.0319,"jv",0.0201,1.16,1.58
"large","heavy_tailed","random_25","1500 x 1500","sparse","lapmod",0.1172,0.1192,"jv",0.1006,1.16,1.18
"base","dbl_uniform","random_25","500 x 1500","sparse","lapmod",0.0071,0.0071,"jv",0.0062,1.15,1.15
"base","int_uniform","random_25","500 x 1500","sparse","lapmod",0.0072,0.0071,"hungarian",0.0062,1.15,1.15
"base","metric_clustered","block_4","500 x 5000","sparse","lapmod",0.0139,0.0136,"jv",0.0121,1.15,1.12
"base","dbl_uniform","block_4","500 x 5000","sparse","lapmod",0.0135,0.0135,"hungarian",0.0119,1.14,1.14
"base","metric_uniform","random_25","500 x 1500","sparse","lapmod",0.0072,0.007,"jv",0.0063,1.14,1.12
"large","dbl_uniform","random_25","1000 x 10000","sparse","lapmod",0.127,0.1278,"jv",0.1115,1.14,1.15
"base","heavy_tailed","block_4","500 x 5000","sparse","lapmod",0.0136,0.0135,"jv",0.012,1.13,1.13
"base","heavy_tailed","random_25","500 x 1500","sparse","lapmod",0.0071,0.0071,"jv",0.0063,1.13,1.13
"large","metric_clustered","random_25","1000 x 10000","sparse","lapmod",0.1273,0.1236,"jv",0.1126,1.13,1.1
"base","int_uniform","block_4","500 x 5000","sparse","lapmod",0.0134,0.0135,"hungarian",0.0119,1.12,1.13
